SD NO.,SD_Name,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,Mar-May,Jun-Sep,Oct-Dec
1,ANDAMAN & NICOBAR ISLANDS,1951,82.7,7.2,0,45.4,259,619.9,665.3,101.3,360.9,489,209.6,434.8,3275.1,89.9,304.4,1747.4,1133.4
2,ARUNACHAL PRADESH,1951,31.8,65.3,309.9,441,344.5,757.8,554.7,278.5,383.7,101.8,46.2,39.1,3354.3,97.1,1095.4,1974.7,187.1
3,ASSAM & MEGHALAYA,1951,4.5,2.9,54.6,230,270.6,688.4,665.9,444.4,241.5,302.2,46.3,5.4,2956.7,7.4,555.2,2040.2,353.9
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1951,3.9,0.2,62.4,360.1,233.7,495,436.2,440.5,191.1,310.6,54.9,20.8,2609.4,4.1,656.2,1562.8,386.3
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1951,1,0.5,22.7,69.3,239.8,546.5,778.3,503.7,326.1,158,37.3,0,2683.2,1.5,331.8,2154.6,195.3
6,GANGETIC WEST BENGAL,1951,0,0.4,62.1,13.1,67.4,180.7,253.5,260.3,200.1,140,36,0.4,1214,0.4,142.6,894.6,176.4
7,ORISSA,1951,2.2,0,89.7,37.1,48,172.5,339.1,349.5,165.5,155.6,37.1,0,1396.3,2.2,174.8,1026.6,192.7
8,JHARKHAND,1951,5.1,0.4,48.9,24.2,25.1,177.5,259.1,267,186.1,69.2,9,0,1071.6,5.5,98.2,889.7,78.2
9,BIHAR ,1951,7.3,1.5,5.8,8.2,22.9,144.2,307.3,204.2,114.5,28.7,4.7,0.1,849.4,8.8,36.9,770.2,33.5
10,EAST UTTAR PRADESH,1951,27.4,10.9,21.6,6.1,2.5,114.4,139.2,247.4,168.3,12.7,2,0.1,752.6,38.3,30.2,669.3,14.8
11,WEST UTTAR PRADESH,1951,16.4,8.2,34.7,6.8,11.6,31.3,141.3,251.7,197.9,6.4,18.6,0,724.9,24.6,53.1,622.2,25
12,UTTARANCHAL,1951,53.9,41.7,46.9,30.6,61.5,73.9,199.9,402.1,203.1,13.9,43.8,0.1,1171.4,95.6,139,879,57.8
13,"HARYANA, DELHI & CHANDIGARH",1951,8.3,0.4,33.6,11.9,9,18.2,52.5,136.1,36.5,0.2,26.7,0,333.4,8.7,54.5,243.3,26.9
14,PUNJAB ,1951,23.9,4.3,53.5,10.4,21.5,5.1,207.8,122.2,12.5,1.9,34.5,1.9,499.5,28.2,85.4,347.6,38.3
15,HIMACHAL PRADESH,1951,112.3,69.4,87.4,90.4,89.1,38.8,217.3,309.3,124.5,19.3,69.6,11.1,1238.5,181.7,266.9,689.9,100
16,JAMMU & KASHMIR,1951,104,96.5,117.8,86.9,91.3,62.8,118.7,159.9,26.3,22.1,25.2,31.8,943.3,200.5,296,367.7,79.1
17,WEST RAJASTHAN ,1951,0.1,0,6.4,5.1,16.4,20.2,33.6,83.3,0.8,0.2,13.8,0,179.9,0.1,27.9,137.9,14
18,EAST  RAJASTHAN ,1951,2,0,6.4,2.8,8.1,51,98.2,158,19.3,0.7,19.1,0,365.6,2,17.3,326.5,19.8
19,WEST MADHYA PRADESH,1951,5.3,0.4,6,0.5,3.5,88,231.7,205.5,85.5,18.9,4.4,0,649.7,5.7,10,610.7,23.3
20,EAST MADHYA PRADESH,1951,19.3,21,44.5,16.5,9.9,138.5,285.8,382.4,221.6,35.9,0,0,1175.4,40.3,70.9,1028.3,35.9
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1951,0,0,0.5,0.3,1.5,66.1,217.5,168,7.2,12.6,7.1,0.3,481.1,0,2.3,458.8,20
22,SAURASHTRA KUTCH & DIU,1951,0,0,0.9,0.8,1.4,40.3,133.4,90.4,6.7,0.5,18.5,0,292.9,0,3.1,270.8,19
23,KOKAN & GOA,1951,0,0,2,10.2,22.3,713,1116.3,510.2,126.8,269.4,38.1,0,2808.3,0,34.5,2466.3,307.5
24,MADHYA MAHARASHTRA,1951,0.1,0,0.5,9.3,29.5,150.1,250.2,136.3,71.7,128.9,20.1,0,796.7,0.1,39.3,608.3,149
25,MARATWADA ,1951,0.4,0,6.2,10.6,11.2,159.5,271,101.3,89.3,78.4,3.5,0,731.4,0.4,28,621.1,81.9
26,VIDARBHA,1951,4.6,0.6,41.9,14.6,11.1,136.8,348.8,318.6,123.1,81.5,0.6,0,1082.2,5.2,67.6,927.3,82.1
27,CHATTISGARH,1951,4.7,2.8,100.9,57.8,32.4,147,327.7,462.2,167.3,95.1,2,0,1399.9,7.5,191.1,1104.2,97.1
28,COSTAL ANDHRA PRADESH,1951,1.3,0,24.6,34.5,49.8,111.5,223.3,140.5,124.9,80.7,82.5,2.1,875.7,1.3,108.9,600.2,165.3
29,TELENGANA,1951,0,0,41.1,20,31.6,121.2,297.4,140.9,116.2,65.3,2.5,0.3,836.5,0,92.7,675.7,68.1
